1213,1683,1244,1721	7
1207,2027,1238,2065	2
1094,2760,1176,2797	648
1088,2816,1157,2835	--
1201,2760,1276,2797	343
1344,563,1401,600	Hit
1344,613,1419,650	118
1344,663,1394,700	83
1338,707,1394,744	79
1338,757,1388,794	71
1338,807,1394,844	67
1338,857,1394,894	60
1338,907,1394,945	58
1338,957,1394,995	50
1338,1001,1394,1038	42
1338,1051,1394,1089	42
1663,569,1707,607	RF
2095,575,2176,613	Pres
1338,1145,1388,1189	39
1332,1195,1388,1232	33
1332,1245,1388,1283	31
1332,1295,1388,1333	24
1332,1345,1388,1383	24
1332,1395,1388,1433	21
1332,1439,1388,1477	19
1332,1489,1382,1527	17
1332,1539,1388,1577	15
1332,1589,1382,1627	15
1332,1683,1382,1721	13
1332,1733,1382,1771	12
1326,1833,1357,1871	7
506,2747,611,2791	North
616,2747,769,2791	Carolina
506,2795,701,2849	Opponents
1319,2760,1388,2797	991
1507,569,1557,600	CF
1507,613,1570,650	1.0
1501,663,1563,700	0.0
1501,713,1563,751	3.0
1501,763,1538,794	0.
1501,807,1563,844	0.0
1501,857,1563,894	2.0
1501,907,1563,945	0.0
1501,957,1563,995	1.0
1501,1007,1563,1045	1.0
1501,1051,1563,1089	1.0
1495,1151,1557,1189	0.0
1495,1201,1557,1239	0.0
1488,1395,1557,1439	0.0
1488,1689,1551,1727	0.0
1488,1833,1520,1871	0.
1488,1883,1520,1921	0.
1482,2127,1520,2165	O.
1482,2228,1545,2265	0.0
1482,2321,1545,2359	0.0
1476,2415,1545,2465	0.0
1476,2472,1545,2528	0.0
1795,569,1920,607	FR-Yds
1795,619,1864,657	0-0
1795,669,1857,707	0-0
1795,713,1857,757	0-0
1789,763,1857,807	0-0
1795,813,1857,857	0-0
1789,863,1857,901	0-0
1789,907,1882,951	1-20
1789,957,1857,995	0-0
1789,1007,1857,1045	O-0
1789,1057,1876,1095	1-13
1789,1157,1857,1195	0-0
1789,1207,1851,1245	0-0
1789,1251,1851,1289	0-0
1789,1301,1851,1339	0-0
1789,1351,1851,1383	0-0
1782,1395,1851,1439	0-0
1776,1445,1851,1489	0-0
1814,1495,1851,1533	-0
1807,1545,1851,1589	-0
1776,1689,1845,1739	0-0
1776,1739,1845,1783	0-0
1782,1789,1845,1827	0-0
1782,1840,1845,1877	0-0
1782,1890,1845,1927	0-0
1807,1933,1845,1971	-0
1807,1984,1845,2021	-0
1770,2522,1839,2559	O-0
1770,2572,1832,2609	0-0
1770,2622,1832,2659	0-0
1764,2666,1832,2716	0-0
1476,2760,1538,2803	9.0
1470,2810,1538,2853	5.0
1632,2766,1688,2803	13
1632,2810,1663,2853	8
1764,2766,1857,2810	2-33
1764,2816,1832,2860	0-0
1970,575,2045,607	PBU
1970,619,2001,657	7
2808,588,2871,625	Int.
2977,588,3033,625	BP
2095,719,2126,763	2
1970,913,2014,945	11
1957,1746,1982,1871	ONO
1945,2578,1976,2710	00C
2295,575,2433,619	TFL-Yds
2295,625,2395,663	1.0-1
2295,675,2395,713	4.0-5
2295,719,2420,763	7.0-25
2295,769,2395,807	0.0-0
2295,819,2395,857	1.0-2
2295,869,2414,907	3.0-12
2295,920,2395,957	2.0-4
2295,970,2439,1007	10.0-47
2289,1013,2420,1063	3.0-28
2295,1063,2414,1101	4.0-25
2539,581,2677,620	QB-Yds
2539,632,2639,669	0.0-0
2539,682,2633,713	1.0-1
2539,726,2639,763	0.0-0
2539,776,2633,813	0.0-0
2539,826,2633,863	0.0-0
2539,869,2658,907	1.0-10
2533,920,2633,957	1.0-2
2533,968,2658,1008	6.0-36
2533,1020,2658,1057	2.0-26
2533,1070,2658,1107	2.0-17
2289,1157,2414,1201	5.0-12
2289,1207,2414,1245	6.0-13
2295,1258,2389,1295	1.0-2
2289,1308,2389,1345	0.0-0
2289,1358,2414,1395	5.0-24
2289,1408,2408,1445	4.0-12
2276,1452,2389,1502	0.0-0
2289,1502,2389,1545	1.0-7
2276,1545,2383,1595	1.0-1
2283,1602,2383,1639	0.0-0
2283,1696,2383,1733	1.0-4
2283,1745,2383,1784	2.0-4
2283,1796,2383,1833	0.0-0
2283,1846,2383,1883	0.0-0
2283,1896,2383,1933	0.0-0
2276,1940,2383,1990	2.0-3
2283,1990,2383,2027	0.0-0
2276,2040,2383,2077	0.0-0
2276,2090,2383,2127	0.0-0
2276,2140,2377,2178	0.0-0
2276,2234,2377,2271	0.0-0
2276,2284,2377,2321	0.0-0
2276,2334,2377,2372	0.0-0
2276,2384,2377,2422	0.0-0
2276,2428,2377,2472	0.0-0
2270,2478,2370,2516	0.0-0
2270,2528,2370,2566	0.0-0
2270,2571,2371,2616	0.0-0
2270,2621,2371,2667	0.0-0
2270,2672,2370,2710	0.0-0
2064,2772,2120,2816	56
2264,2771,2439,2817	63.0-231
2508,2772,2677,2816	20.0-130
2502,2822,2677,2866	37.0-234
2777,2778,2839,2822	13
2777,2822,2839,2866	14
1870,3491,2058,3536	Carolina's
1870,3542,2018,3586	defense
2023,3542,2170,3586	allowed
1870,3592,1925,3636	no
1930,3592,2145,3636	touchdowns
1870,3642,1947,3687	and
1952,3642,2023,3686	just
2028,3641,2083,3685	15
1870,3686,1983,3736	points
1989,3686,2033,3736	in
2039,3686,2096,3736	the
2102,3686,2195,3736	final
1870,3736,1919,3787	10
1925,3735,2085,3786	quarters
2091,3735,2133,3785	of
1870,3786,1935,3830	the
1941,3786,2028,3830	1999
2034,3786,2176,3830	season.
1864,3842,1947,3880	(Grant
1952,3842,2074,3879	Halverson
2078,3842,2158,3880	photo)
481,3955,721,4018	Carolina
729,3955,957,4018	Football
1738,3968,1851,4024	140
