543,391,864,499	1999
876,396,1889,513	REGULAR-SEASON
1900,411,2530,523	DEFENSIVE
2541,421,3135,532	STATISTICS
537,550,650,600	Player
531,600,684,645	Billy-Dee
690,600,894,645	Greenwood
530,646,684,696	Merceda
688,651,783,698	Perry
531,700,657,751	Sedrick
663,700,781,751	Hodge
531,750,673,794	Quinton
679,750,806,794	Savage
531,794,635,838	David
641,794,756,838	Bomar
531,844,588,894	Tim
594,844,731,894	Burgess
531,894,615,932	Errol
620,894,719,932	Hood
525,943,624,988	Julius
629,944,769,990	Peppers
531,993,652,1039	Quincy
657,995,763,1040	Monk
525,1038,662,1083	Sherrod
667,1037,775,1082	Peace
525,1139,604,1176	Ross
609,1139,781,1176	McAllister
525,1189,614,1227	Ryan
618,1188,706,1226	Sims
525,1232,640,1277	Shawn
645,1232,813,1277	Woodard
525,1283,618,1328	Jason
623,1281,750,1327	Horton
525,1332,601,1376	Joey
607,1332,713,1376	Evans
519,1383,672,1420	Malcolm
677,1383,806,1420	Stewart
519,1433,666,1477	Anthony
672,1433,794,1477	Perkins
519,1476,586,1526	Teto
592,1476,744,1527	Simpson
519,1527,663,1577	Anthony
669,1527,838,1577	Anderson
518,1577,650,1622	Antwon
655,1575,757,1620	Black
519,1677,658,1715	Stephon
663,1677,831,1715	McQueen
519,1726,664,1771	Brandon
670,1726,788,1771	Spoon
512,1771,611,1824	Kevin
616,1767,738,1821	Knight
512,1821,627,1865	Robert
633,1820,744,1865	Harris
518,1871,617,1916	David
622,1870,775,1915	Thornton
512,1921,619,1958	Willie
624,1921,731,1958	Quick
512,1971,615,2009	Jason
619,1971,763,2009	Beamon
512,2021,657,2059	DeFonte
661,2021,813,2059	Coleman
512,2065,627,2109	Ronnie
632,2065,794,2109	Robinson
512,2115,582,2153	Eric
587,2115,688,2153	Davis
511,2212,573,2255	Jeb
579,2212,670,2255	Terry
512,2258,638,2303	Nathan
644,2259,757,2303	Sutton
506,2308,605,2359	Doug
610,2309,725,2360	Brown
512,2358,599,2409	Greg
604,2359,719,2410	Harris
506,2409,637,2447	Marcus
642,2409,744,2447	Jones
506,2459,609,2497	Jason
614,2459,719,2497	Peace
506,2509,600,2547	Brian
605,2509,744,2547	Schmitz
506,2553,594,2597	Zach
600,2553,706,2597	Hilton
506,2603,632,2647	Derrick
638,2603,775,2647	DePriest
506,2653,621,2697	Danny
627,2653,725,2697	Davis
982,557,1082,594	G-GS
982,607,1088,644	11-11
975,657,1063,694	10-7
975,707,1082,744	11-11
975,757,1044,788	8-6
975,807,1063,838	11-4
975,851,1063,888	10-4
975,901,1082,938	11-11
975,951,1082,982	11-11
975,1001,1063,1038	11-7
969,1045,1082,1082	11-10
969,1145,1057,1182	11-9
975,1195,1082,1232	11-11
969,1245,1057,1283	11-2
969,1289,1057,1326	10-3
969,1339,1057,1376	11-2
969,1389,1057,1426	11-0
969,1439,1050,1470	11-1
963,1483,1032,1520	8-0
963,1533,1057,1570	10-7
963,1583,1025,1621	7-1
963,1683,1050,1721	11-0
963,1727,1032,1771	2-2
963,1777,1044,1815	11-1
963,1827,1050,1865	11-0
957,1877,1050,1915	11-0
957,1921,1025,1965	7-0
957,1971,1044,2009	11-0
957,2021,1050,2059	10-0
957,2071,1044,2109	11-0
957,2121,1044,2159	11-0
957,2221,1019,2259	5-0
957,2265,1044,2303	11-0
957,2315,1044,2353	10-0
957,2365,1044,2403	11-5
950,2415,1019,2453	2-0
950,2465,1044,2497	10-8
950,2509,1038,2547	11-0
950,2559,1038,2597	11-0
950,2609,1019,2647	3-0
950,2659,1013,2697	8-0
950,2760,1057,2797	11-11
950,2802,1063,2842	11-11
1125,613,1182,644	69
1125,657,1176,694	53
1125,707,1176,744	52
1125,757,1176,794	48
1119,807,1176,838	39
1125,857,1176,888	44
1119,907,1176,938	44
1119,951,1176,988	38
1119,1001,1176,1038	25
1119,1051,1176,1089	22
1119,1145,1169,1182	23
1119,1195,1169,1232	19
1119,1245,1169,1283	22
1119,1295,1169,1333	20
1113,1345,1169,1376	16
1107,1389,1169,1433	15
1113,1439,1169,1477	13
1113,1489,1144,1527	8
1113,1539,1163,1570	12
1113,1589,1163,1621	10
1107,2021,1138,2065	3
1226,563,1257,600	A
1226,613,1282,644	49
1226,657,1282,694	30
1226,707,1276,744	27
1226,757,1282,794	23
1226,807,1276,844	28
1226,857,1276,888	16
1226,901,1276,938	14
1219,951,1276,988	12
1219,1001,1276,1038	17
1219,1051,1276,1089	20
1219,1145,1276,1182	16
1219,1195,1276,1232	14
1219,1245,1251,1283	9
1213,1395,1251,1433	6
