460,404,780,516	1998
1064,1363,1120,1407	17
1064,1419,1120,1457	15
1064,1475,1120,1513	19
1064,1525,1095,1562	7
1064,1948,1095,1986	3
1064,2110,1095,2148	2
1064,2216,1095,2254	2
1219,572,1250,610	A
1219,628,1269,660	60
1213,678,1269,716	72
1213,728,1269,772	28
1213,784,1269,821	39
1213,840,1269,877	37
1213,890,1269,927	45
1213,946,1269,983	39
1213,996,1269,1033	33
1213,1052,1269,1089	39
1207,1102,1269,1145	27
1213,1207,1269,1245	13
1213,1313,1269,1351	20
1213,1363,1269,1407	19
1213,1419,1269,1457	16
1219,1793,1250,1830	2
1219,1843,1250,1880	3
1219,2160,1250,2204	2
1213,2266,1244,2310	1
1064,2590,1138,2627	651
1350,572,1406,610	Hit
1350,628,1424,666	138
1350,678,1424,716	132
1344,734,1400,772	96
1350,784,1400,821	89
1344,840,1400,877	81
1350,890,1400,927	78
1344,940,1400,983	70
1350,996,1400,1033	67
1350,1052,1400,1089	63
1350,1102,1400,1139	57
1350,1207,1400,1245	44
1350,1264,1400,1301	42
1350,1313,1400,1351	41
1350,1369,1400,1407	36
1350,1419,1400,1457	31
1350,1475,1400,1513	28
1350,1525,1400,1562	12
1350,1581,1400,1618	12
1350,1631,1400,1668	11
1350,1687,1400,1724	10
1350,1793,1400,1830	10
1350,2110,1381,2160	4
1350,2154,1381,2310	MNN
1213,2590,1294,2627	542
1530,572,1574,610	CF
1648,572,1698,616	FF
2022,572,2096,610	PBU
2196,572,2277,610	Pres
1524,840,1561,877	2
1350,2590,1449,2627	1193
2196,678,2227,716	4
2196,734,2227,772	3
2022,946,2053,983	2
2022,1207,2078,1245	10
2022,1264,2072,1301	17
2022,1313,2053,1351	2
1530,2590,1580,2646	12
2370,571,2501,611	TFL-Yds
2370,628,2488,666	8.0-43
2370,678,2507,716	12.0-61
2370,732,2514,773	23.0-98
2370,784,2513,821	11.0-37
2370,840,2470,877	2.0-4
2370,890,2432,927	0-0
2370,940,2495,983	7.0-37
2370,996,2495,1039	6.0-14
2370,1052,2470,1089	1.0-2
2370,1102,2495,1139	7.5-25
2370,1264,2439,1301	0-0
2370,1475,2439,1513	0-0
2370,1525,2439,1562	O-0
2364,1631,2432,1674	0-0
2370,1687,2439,1724	O-0
2370,1793,2432,1830	0-0
2370,1899,2439,1936	O-0
2370,1948,2439,1986	0-0
2370,2054,2439,2098	0-0
2370,2110,2408,2148	O-
2401,2110,2439,2148	-0
2370,2216,2439,2254	0-0
2370,2272,2439,2310	0-0
2370,2378,2439,2409	0-0
2370,2428,2439,2465	0-0
2370,2484,2439,2521	0-0
2370,2534,2439,2571	0-0
1655,2590,1711,2627	12
1655,2640,1711,2683	14
2190,2633,2221,2671	-
2613,572,2756,616	QB-Yds.
2613,628,2731,666	5.0-37
2613,678,2731,716	4.0-33
2613,728,2738,772	7.0-69
2613,784,2731,821	3.5-27
2613,840,2712,877	0.0-0
2613,890,2675,927	0-0
2613,946,2737,983	4.0-34
2613,996,2712,1033	1.0-5
2613,1052,2681,1089	0-0
2613,1102,2731,1139	3.5-18
2818,579,2880,616	Int.
2949,572,3005,616	BP
2613,2372,2681,2409	0-0
2607,2428,2681,2472	0-0
2613,2484,2681,2521	0-0
2613,2534,2681,2571	0-0
2613,2584,2781,2621	33.0-265
2613,2640,2781,2677	29.0-199
2818,2584,2874,2683	=°
1935,2770,1972,2835	Scott
1935,2840,1972,2932	Sharpe
1972,3281,2141,3337	Seniors
2148,3281,2275,3337	Jomo
2282,3281,2430,3337	Legins
2437,3281,2535,3337	(21)
2543,3281,2632,3337	and
1972,3343,2092,3400	Mike
2099,3343,2296,3400	Pringley
2303,3343,2395,3400	(91)
2402,3343,2578,3400	started
2585,3343,2719,3400	every
1972,3406,2104,3462	game
2111,3406,2207,3461	last
2214,3406,2318,3461	year
2325,3406,2387,3461	at
2394,3406,2539,3461	safety
2546,3406,2638,3462	and
1972,3468,2197,3518	defensive
2203,3468,2309,3517	end,
2316,3468,2607,3518	respectively.
1972,3524,2120,3580	Legins
2127,3524,2226,3580	was
2233,3524,2317,3580	the
2324,3524,2500,3580	leading
2507,3524,2669,3580	tackler
1972,3586,2131,3642	among
2138,3587,2366,3642	defensive
2373,3587,2518,3642	backs;
2525,3586,2719,3642	Pringley
1972,3642,2064,3698	had
2071,3642,2177,3698	four
2184,3642,2458,3698	quarterback
2465,3642,2592,3698	sacks
2599,3642,2697,3698	and
2704,3642,2737,3698	a
1972,3704,2212,3761	team-high
2219,3704,2282,3761	12
2289,3704,2532,3761	pressures.
448,3953,687,4010	Carolina
694,3953,920,4010	Football
1704,3947,1816,4003	142
