460,404,780,516	1998
794,404,1812,516	REGULAR-SEASON
1826,404,2440,516	DEFENSIVE
2454,404,3055,516	STATISTICS
466,572,584,616	Player
466,628,613,672	Brandon
618,628,734,672	Spoon
466,678,554,716	Keith
559,678,715,716	Newman
466,728,624,772	Ebenezer
629,728,759,772	Ekuban
466,784,595,835	Sedrick
600,783,722,834	Hodge
466,840,559,885	Jomo
564,839,678,884	Legins
466,890,618,934	Billy-Dee
624,890,827,934	Greenwood
466,940,552,992	Mike
557,938,697,990	Pringley
466,996,596,1033	Marcus
601,996,684,1033	Dow
466,1051,600,1090	Antwon
605,1051,703,1090	Black
466,1101,605,1139	Sherrod
610,1101,715,1139	Peace
877,572,976,610	G-GS
877,628,983,660	11-11
877,678,983,716	11-11
877,734,989,765	11-10
877,784,983,821	11-11
877,840,983,877	11-11
877,890,964,927	11-2
877,946,983,977	11-11
877,996,983,1033	11-11
877,1052,964,1083	11-9
877,1102,964,1139	11-8
466,1207,542,1251	Dré'
548,1207,603,1251	Bly
466,1262,559,1301	Steve
564,1263,672,1302	Fisher
466,1319,618,1363	Merceda
624,1319,715,1363	Perry
466,1369,582,1407	Russell
587,1369,684,1407	Davis
466,1419,552,1470	Ryan
558,1419,647,1469	Sims
466,1475,607,1519	Quinton
613,1475,746,1519	Savage
466,1525,543,1569	Joey
548,1524,653,1569	Evans
466,1576,534,1626	Teto
539,1573,691,1625	Simpson
466,1630,607,1674	Stephon
613,1630,784,1674	McQueen
466,1687,613,1731	Anthony
618,1687,784,1731	Anderson
466,1793,573,1830	David
577,1793,690,1830	Bomar
466,1849,545,1886	Ross
550,1849,721,1886	McAllister
466,1898,580,1942	Danny
586,1898,684,1942	Davis
466,1949,548,1993	Errol
553,1947,653,1992	Hood
466,2004,613,2048	Anthony
618,2004,740,2048	Perkins
466,2061,559,2106	Doug
564,2059,678,2104	Brown
466,2110,591,2154	Quincy
597,2110,703,2154	Monk
464,2158,530,2206	Tim
533,2163,673,2217	Burgess
466,2216,559,2260	Greg
564,2216,672,2260	Harris
466,2272,587,2310	Shawn
591,2272,752,2310	Woodard
466,2372,609,2422	Anthony
616,2372,777,2422	Saunders
466,2428,559,2472	Brian
564,2428,703,2472	Schmitz
466,2483,559,2527	Tyrell
564,2484,703,2529	Godwin
466,2534,580,2577	Donte'
586,2534,771,2577	Thorogood
466,2590,573,2627	North
577,2590,728,2627	Carolina
466,2646,659,2689	Opponents
877,1207,983,1245	11-11
877,1264,989,1301	11-10
877,1313,964,1351	11-0
877,1369,964,1407	10-2
877,1419,964,1457	11-0
877,1475,964,1513	11-0
877,1525,964,1562	11-0
877,1581,939,1618	9-0
877,1631,964,1668	11-1
877,1687,939,1724	7-0
877,1793,964,1830	11-0
877,1843,939,1880	7-1
877,1899,964,1936	10-0
877,1948,958,1986	10-1
877,2005,939,2042	8-0
877,2061,964,2098	11-0
877,2110,964,2148	11-0
877,2166,939,2198	4-0
877,2216,939,2254	7-0
877,2272,964,2310	10-0
877,2378,964,2415	11-0
877,2428,964,2465	11-0
877,2484,939,2521	7-0
877,2534,939,2571	9-0
877,2589,989,2628	11-11
877,2639,983,2677	11-11
1064,628,1120,660	78
1064,678,1120,716	60
1064,734,1120,772	68
1064,784,1120,821	50
1064,840,1120,871	44
1064,890,1120,927	33
1064,940,1113,983	31
1064,996,1120,1033	34
1064,1052,1120,1089	24
1064,1102,1120,1139	30
1064,1207,1113,1245	31
1064,1264,1120,1301	34
1064,1313,1113,1351	21
