896,1711,988,1749	Total
1056,1718,1131,1749	TFL
1230,1718,1347,1755	Sacks
1409,1718,1551,1755	Int-Yds.
30,1742,86,1779	44
85,1741,239,1785	Brandon
242,1747,359,1789	Spoon
1607,1724,1693,1761	PBU
1761,1724,1848,1761	QBH
1934,1724,2076,1767	FR-Yds.
513,1755,550,1786	11
636,1755,679,1786	71
30,1792,80,1823	52
772,1755,822,1792	60
896,1761,970,1792	131
1056,1761,1155,1798	13-38
1230,1761,1322,1798	1.0-8
1409,1761,1477,1798	0-0
92,1788,218,1832	Sedrick
223,1789,340,1833	Hodge
513,1798,556,1829	11
630,1798,679,1829	55
30,1835,74,1866	25
92,1835,240,1872	DeFonte
244,1835,401,1872	Coleman
772,1798,822,1835	27
896,1804,945,1835	82
513,1841,556,1872	11
630,1841,679,1872	42
506,1884,556,1915	11
624,1884,679,1928	35
766,1841,822,1884	36
1056,1804,1155,1841	16-78
1230,1804,1341,1841	7.0-57
1409,1810,1471,1841	0-0
1056,1847,1118,1884	1-6
1230,1854,1322,1884	0.0-0
24,1878,80,1909	41
92,1878,212,1916	Quincy
217,1878,315,1916	Monk
896,1847,945,1878	78
766,1891,815,1922	41
896,1891,945,1928	76
1056,1891,1137,1928	6-31
1223,1897,1341,1934	2.0-19
24,1922,80,1952	24
92,1921,208,1959	Dexter
212,1921,290,1959	Reid
506,1928,556,1959	11
630,1934,679,1965	35
766,1934,815,1965	34
896,1934,945,1971	69
1050,1934,1137,1971	3-10
1230,1940,1316,1977	1.0-5
1761,1866,1780,1897	•
1762,1900,1780,1942	0
1761,1944,1780,1977	r
2336,1726,2421,1957	*000°
23,2007,84,2046	49
88,2009,190,2049	Julius
194,2013,340,2055	Peppers
24,2051,74,2088	29
86,2051,174,2089	Errol
178,2051,271,2089	Hood
506,2014,550,2051	11
624,2020,679,2051	44
766,2020,815,2051	20
896,2020,945,2058	64
1050,2027,1174,2058	24-146
1223,2026,1378,2064	15.0-117
766,2064,815,2101	16
896,2064,945,2101	54
1050,2070,1112,2101	2-6
1223,2070,1316,2107	0.0-0
1409,2070,1489,2107	2-12
18,2095,74,2138	87
506,2064,550,2095	11
624,2064,679,2095	38
86,2100,178,2138	Ryan
183,2101,278,2138	Sims
760,2107,815,2144	26
890,2113,945,2144	52
1050,2113,1131,2150	9-51
1223,2112,1341,2152	6.0-36
1409,2119,1471,2156	0-0
24,2138,78,2181	58
83,2138,224,2181	Anthony
229,2138,364,2181	Perkins
506,2107,550,2138	11
624,2107,679,2138	26
506,2150,550,2181	11
624,2150,679,2181	24
1050,2156,1131,2193	4-16
1223,2163,1335,2193	2.0-18
1403,2163,1464,2200	0-0
18,2187,83,2225	42
