1901,1668,1975,1705	0-0
1901,1723,1975,1760	0-0
1895,1779,1975,1828	0-0
1901,1840,1975,1877	0-0
1901,1902,1975,1939	0-0
1895,1957,1975,2001	0-0
1901,2019,1975,2056	0-4
1901,2074,1975,2111	0-0
1895,2130,1975,2179	0-2
1895,2191,1975,2241	0-0
2055,381,2228,430	PRES
2234,381,2455,430	TFL-YDS
2160,437,2215,480	5..
2357,443,2486,480	6-20..
2160,498,2190,541	5
2326,498,2455,542	.11-25
2461,498,2492,542	...
2135,554,2190,597	20
2332,560,2455,597	19-74
2160,615,2190,652	0
2369,615,2455,658	.....0
2363,671,2492,720	3-16...
2363,732,2455,769	9-64
2160,905,2190,942	9
2135,1022,2197,1065	10
2160,1139,2190,1175	0
2160,1256,2190,1292	0
2578,381,2757,437	SACKS
2689,437,2763,480	1-9
2664,498,2763,547	5-14
2664,560,2763,597	7-48
2677,615,2763,664	....o
2664,677,2763,714	1-10
2658,732,2763,781	.7-62
2695,794,2763,837	...O
2677,849,2763,892	.....O
2658,905,2763,954	.3-24
2658,966,2763,1009	.8-57
2658,1022,2664,1071	.
2670,1022,2763,1071	4-26
2689,1083,2763,1120	1-7
2824,387,2935,437	INT
2861,443,2935,486	....0
2898,498,2935,541	2
2904,560,2935,597	0
2363,855,2486,886	.....O..
2357,905,2461,954	6-34
2338,966,2455,1003	12-62
2357,1022,2455,1071	5-30
2363,1083,2455,1120	4-11
2387,1139,2486,1182	1-4..
2387,1200,2449,1237	1-1
2381,1262,2455,1305	1-2
2387,1317,2455,1354	1-1
2418,1373,2486,1416	O..
2904,966,2935,1003	0
2701,1200,2763,1243	...O
2695,1256,2763,1305	...O
2689,1317,2763,1360	....0
2689,1373,2763,1416	....0
2904,1373,2935,1409	0
2160,1723,2190,1760	0
2369,1551,2455,1594	.....0
2357,1606,2455,1656	2-15
2424,1723,2455,1767	0
2357,1779,2455,1828	3-15
2160,1840,2190,1877	2
2670,1545,2763,1594	......O
2664,1606,2763,1656	2-15
2695,1668,2763,1711	...O
2689,1723,2763,1767	....0
